,train,val,test
0,2019-07506-1-4-4_2019-05-29 01_58_32-lv1-17822-9656-3294-5907,2019-07498-1-2-2_2019-05-29 08_30_31-lv1-46489-6224-11088-8360,D20181168805_2019-06-10 11_18_54-lv1-18579-12686-3858-4185
1,2019-08974-1-1-1_2019-05-28 23_56_10-lv1-53379-9747-9811-5861,D20180572305_2019-06-10 13_42_00-lv1-1471-3213-2510-2628,2019-06-04 18_19_44-lv1-18138-10941-1968-1560
2,2019-08261-1-1-1_2019-05-29 01_05_21-lv1-45083-13771-4787-2600,2019-06-11 00_12_04-lv1-25975-6081-5994-3894,2019-08979-1-6-6_2019-05-28 21_52_03-lv1-42127-12400-6222-8663
3,2019-05891-1-5-5_2019-05-29 03_17_43-lv1-25593-21588-2499-4555,2019-07501-1-1-1_2019-05-29 08_22_25-lv1-9661-18329-4972-6041,2019-06-11 00_30_22-lv1-8563-21916-5988-4778
4,2019-05890-1-3-3_2019-05-29 04_02_08-lv1-33554-13476-4846-5024,2019-06-10 11_04_00-lv1-17543-31398-3874-3223,D20190381406_2019-06-10 14_42_20-lv1-3118-21546-2329-1803
5,2019-08976-1-3-3_2019-05-28 22_53_15-lv1-27252-10804-5418-2621,2019-06-10 23_16_07-lv1-1304-11584-4669-3073,2019-07503-1-1-1_2019-05-29 06_57_56-lv1-44861-7903-3113-957
6,D20190445003_2019-06-10 14_30_16-lv1-19280-4446-1982-3545,2019-10965-1-1-1_2019-05-28 15_12_46-lv1-41393-10795-4607-7564,2019-06-11 00_17_48-lv1-26698-35416-6937-5592
7,1903326001_2019-06-11 12_07_06-lv1-22710-30692-2579-4062,2019-06-04 17_46_32-lv1-45251-7989-3585-4881,2019-08976-1-3-3_2019-05-28 22_53_15-lv1-27053-7624-4195-3178
8,2019-06-10 21_52_25-lv1-15458-1750-3237-3062,2019-06-10 21_36_55-lv1-26790-10316-4912-5895,1903406001_2019-06-11 12_03_13-lv1-29267-17392-3773-3614
9,2019-10732-1-3-3_2019-05-28 16_55_15-lv1-22659-15031-6959-6124,2019-08974-1-1-1_2019-05-28 23_56_10-lv1-33437-26695-7518-8983,2019-08980-1-1-1_2019-05-28 21_41_50-lv1-52872-25008-3867-3778
10,2019-06-04 17_14_34-lv1-1222-5305-4145-5250,2019-06-04 17_14_34-lv1-18245-14038-4366-5361,D20190399001_2019-06-10 14_39_51-lv1-15260-15903-3982-1913
11,2019-06-10 21_17_55-lv1-21656-14968-3626-4835,2019-06-10 11_34_05-lv1-15856-26436-6294-5706,2019-06-04 18_15_29-lv1-19260-12674-4790-3759
12,2019-07460-1-1-1_2019-05-29 09_02_42-lv1-41874-3885-3865-2811,2019-06-10 23_33_19-lv1-18046-33406-3980-6002,2019-06-10 21_03_27-lv1-3469-15205-2943-4251
13,2019-10946-1-1-1_2019-05-28 15_40_39-lv1-37765-7438-4110-7111,2019-06-11 00_14_57-lv1-19215-2633-3642-5043,2019-06-11 00_36_01-lv1-4758-26098-4241-3066
14,D20180723501_2019-06-10 13_47_37-lv1-5074-30454-4941-5296,2019-05890-1-1-1_2019-05-29 04_16_22-lv1-25799-22836-8286-7829,2019-05891-1-1-1_2019-05-29 03_35_51-lv1-19783-29947-6376-6161
