,train,val,test
0,748849_7306 20 - 3,C3L-00567-23,380574_1357_20_8
1,C3N-02334-21,C3N-02064-21,C3L-02630-25
2,607460_936_20_5,C3N-00171-21,C3L-06162-21
3,C3L-04492-25,741541_9375 20,C3L-01883-22
4,C3L-04492-23,C3L-04492-22,C3N-01534-21
5,524564_8797 20_9,TCGA-DX-A23T-01Z-00-DX1.AEFA32EC-6E45-471F-A0F9-D891F1B25A22,380574_1357_20_2
6,C3N-00843-23,TCGA-DX-AB36-01Z-00-DX1.83E57948-B439-45B6-ACBF-1CBBCF79EE88,TCGA-DX-AB35-01Z-00-DX2.2B402924-E169-4EB3-AF9F-4A6843547192
7,667098_8551 20,TCGA-WK-A8XQ-01Z-00-DX3.224831F2-0BF9-4055-B5FA-D08B88B29962,TCGA-DX-A2J1-01Z-00-DX1.51522171-EBCA-4A16-8F39-E794211F8B94
8,380574_1357_20_4,737695_588 20_1,742405_1629 20_7
9,607460_936_20_7,745521_3960_20_12,TCGA-DX-AB2G-01Z-00-DX3.F55EEE13-A4AA-4E04-9F7F-09922ABEECF1
10,736259_0604 20_LP_1_9 ,TCGA-DX-A3LS-01Z-00-DX1.32E89F90-9C89-4EBE-9AD3-DF1D2457F6C8,742405_1629 20_4
11,736259_0604 20_LP_1_6 ,742405_1629 20_10,TCGA-WK-A8XO-01Z-00-DX3.6E73564F-9C51-462F-98B9-5F9693AB783E
12,C3L-03641-22,TCGA-DX-AB3A-01Z-00-DX1.1AD7742A-DFB9-4898-8598-2A99B03C4A7A,TCGA-DX-AB35-01Z-00-DX3.B35C6035-4ED2-4E2F-A915-C59E1ACDE65D
13,736259_0604 20_LP_1_3 ,TCGA-DX-A3LU-01Z-00-DX1.DFE76532-13E0-4359-BFFD-D3846A326254,TCGA-3R-A8YX-01Z-00-DX1.C340AFDA-E53B-4EA5-BA65-2F2F6AAA3B21
14,607460_936_20_2,741797_4182 20 - 2020-12-01.12,4567206215_1290_20_4
15,C3L-04492-21,TCGA-DX-AB36-01Z-00-DX2.B0293A74-52AC-490B-A5F0-CA96F4B36252,C3L-05852-21
16,C3N-00171-24,,TCGA-DX-A3LY-01Z-00-DX1.9F133C2C-AFFA-4A13-AA2B-BB4824FFAD61
17,C3L-05505-22,,732812_LP_3_587 20_10 
18,C3N-03489-21,,713276_6132 20 - 2020-07-25 18.05.29
19,380574_1357_20_5,,TCGA-DX-AB3A-01Z-00-DX2.27E3160A-4CA5-4E3B-AF99-157013591E12
20,C3L-00567-22,,
21,736259_0604 20_LP_1_4 ,,
22,380574_1357_20_12,,
23,C3L-06162-27,,
24,C3N-00843-21,,
25,551466_8618 20 - 2020-12-11.03,,
26,C3N-00171-23,,
27,607460_936_20_1,,
28,C3L-02630-23,,
29,C3N-02334-22,,
30,C3L-06162-22,,
31,736259_0604 20_LP_1_11 ,,
32,C3L-06162-24,,
33,C3L-00564-21,,
34,380574_1357_20_1,,
35,750803_8445 20,,
36,736259_0604 20_LP_1_2 ,,
37,C3L-05505-21,,
38,C3L-01914-21,,
39,C3L-00564-22,,
40,736259_0604 20_LP_1_1 ,,
41,C3N-02064-23,,
42,607460_936_20_4,,
43,607460_936_20_6,,
44,C3N-00843-22,,
45,C3L-04492-24,,
46,C3L-03641-23,,
47,703664_8415 20 - 2020-12-11.52,,
48,380574_1357_20_3,,
49,C3N-03489-23,,
50,380574_1357_20_6,,
51,736259_0604 20_LP_1_7 ,,
52,C3N-02334-23,,
53,C3N-03489-22,,
54,C3L-03641-21,,
55,C3N-03214-22,,
56,C3N-01534-23,,
57,C3L-01883-23,,
58,C3N-01534-22,,
59,380574_1357_20_16,,
60,380574_1357_20_11,,
61,380574_1357_20_10,,
62,380574_1357_20_17,,
63,C3L-02630-21,,
64,703664_8415 20_2 - 2020-12-11.57,,
65,736259_0604 20_LP_1_8 ,,
66,736259_0604 20_LP_1_12 ,,
67,736259_0604 20_LP_1_13 ,,
68,627427_5278 20_2 - 2020-07-25 19.08.45,,
69,C3L-02852-21,,
70,607460_936_20_3,,
71,C3L-00564-23,,
72,380574_1357_20_9,,
73,380574_1357_20_15,,
74,373805_6069 20 - 2020-07-25 19.00.12,,
75,C3N-00171-22,,
76,736259_0604 20_LP_1_5 ,,
77,C3N-02064-22,,
78,380574_1357_20_14,,
79,736259_0604 20_LP_1_10 ,,
80,C3L-06162-23,,
81,C3L-02851-21,,
82,524564_8797 20_3,,
83,C3L-03166-21,,
84,736259_0604 20_LP_1_14 ,,
85,C3L-02630-24,,
86,627427_5278 20 - 2020-07-25 19.05.08,,
87,C3L-02630-22,,
88,380574_1357_20_7,,
89,C3L-00567-21,,
90,C3L-01914-22,,
91,C3L-01883-21,,
92,C3N-03214-21,,
93,746726_6799 20 ,,
94,TCGA-DX-A7ES-01Z-00-DX2.9032C642-D318-433A-8846-B13596413B59,,
95,TCGA-3B-A9HI-01Z-00-DX1.FF553011-934A-4E3E-AA53-B87FC307E095,,
96,TCGA-DX-A240-01Z-00-DX1.84CA11FF-F82D-4D71-8C29-33DB35CCB680,,
97,732812_LP_3_587 20_6 ,,
98,745521_3960_20_5,,
99,TCGA-DX-A1L1-01Z-00-DX1.AF505C16-DC64-4346-A1DF-595A43848832,,
100,TCGA-Z4-A9VC-01Z-00-DX1.42D1CACE-2FFB-4CE4-B8D6-8C0D5BC3B3F2,,
101,742405_1629 20_15,,
102,745521_3960_20_11,,
103,TCGA-WK-A8XO-01Z-00-DX2.1B458FAA-9937-4A15-A3E0-4237B75DA1A0,,
104,TCGA-DX-A6BK-01Z-00-DX2.561B10AB-522B-4B2F-BE4B-21AB7A08E7E8,,
105,TCGA-WK-A8XQ-01Z-00-DX2.64263F00-71B0-4099-BF60-DFB5391E05EA,,
106,737695_588 20_4,,
107,TCGA-DX-A7EI-01Z-00-DX1.75E3E0DF-9291-4830-A926-EB1EA7327916,,
108,4567206215_1290_20_3,,
109,TCGA-DX-AB2F-01Z-00-DX1.2F9C07B1-77D6-466B-B09E-5FCD01458777,,
110,TCGA-DX-AB37-01Z-00-DX3.AE53E163-C3F2-4BF1-8A2E-232842C590F1,,
111,746726_6799 20 - 2020-07-29 23.11.03,,
112,748804_6555 20 -2,,
113,C3L-05023-22,,
114,TCGA-IF-A3RQ-01Z-00-DX1.674A974D-E775-48C1-B4F1-4671C4D1EF33,,
115,TCGA-DX-A3LT-01Z-00-DX1.D4A948E5-6BDC-458B-BB69-ABE5742F148D,,
116,TCGA-DX-AB37-01Z-00-DX1.B778136D-9699-48FA-91F2-16BD16569571,,
117,TCGA-FX-A3NK-01Z-00-DX1.66390C76-EBAB-4904-8BA7-A0E66228B8A5,,
118,TCGA-DX-A6BH-01Z-00-DX1.354D106A-0029-40F6-B11E-1BBD0389A525,,
119,C3L-05023-23,,
120,TCGA-DX-A7EI-01Z-00-DX3.D0068AA2-E10C-4C92-8836-F84F395AD744,,
121,TCGA-SG-A6Z7-01Z-00-DX1.1C500200-81CA-46DB-8D97-EC94247B8D83,,
122,TCGA-DX-A23V-01Z-00-DX1.E7E5DAB8-EB00-44A2-91F1-2C660F624D1E,,
123,TCGA-DX-A2J0-01Z-00-DX1.D967A85F-4E39-4D18-A548-0767A7A761CE,,
124,751380_7495 20,,
125,732812_LP_3_587 20_12 ,,
126,737695_588 20_6,,
127,TCGA-DX-A7EI-01Z-00-DX2.7CAF2DEA-34A2-4841-94BE-C4B814D479CD,,
128,TCGA-DX-AB2F-01Z-00-DX2.860CF225-64CE-42E2-A6FF-E405E44D0439,,
129,TCGA-DX-A6BE-01Z-00-DX2.A799F2A2-3BB8-4CD2-9150-43B6B35474E4,,
130,742405_1629_20_1,,
131,TCGA-DX-A6BE-01Z-00-DX1.67FF80A5-340F-4709-8976-A2A1FCF16BA9,,
132,TCGA-DX-A23Z-01Z-00-DX1.BA0DD1F3-2339-499D-B686-5531CA73E462,,
133,742405_1629 20_14,,
134,742405_1629 20_3,,
135,742405_1629 20_12,,
136,745521_3960_20_4,,
137,732812_LP_3_587 20_1 ,,
