,train,val,test
0,748849_7306 20 - 3,C3N-02064-22,C3L-06162-21
1,C3N-02334-21,373805_6069 20 - 2020-07-25 19.00.12,C3L-04492-25
2,607460_936_20_5,C3N-00171-22,C3L-00567-22
3,741541_9375 20,745521_3960_20_6,TCGA-3B-A9HO-01Z-00-DX1.92599E15-92BB-4C57-80AB-B5820DE98B7B
4,C3L-04492-23,TCGA-DX-A1L0-01Z-00-DX1.4FA1C23F-8118-4BE4-842A-C7B0C57C9876,732812_LP_3_587 20_7 
5,524564_8797 20_9,TCGA-DX-AB35-01Z-00-DX3.B35C6035-4ED2-4E2F-A915-C59E1ACDE65D,TCGA-DX-A23R-01Z-00-DX1.4019729D-79B3-4B0E-8C5B-02938F5C61D2
6,C3N-00843-23,TCGA-Z4-A9VC-01Z-00-DX1.42D1CACE-2FFB-4CE4-B8D6-8C0D5BC3B3F2,TCGA-DX-A6BK-01Z-00-DX2.561B10AB-522B-4B2F-BE4B-21AB7A08E7E8
7,667098_8551 20,745521_3960_20_5,TCGA-DX-A7ES-01Z-00-DX1.8218255F-C439-41CB-B25B-F177D19BAF28
8,C3L-00567-23,TCGA-DX-AB2H-01Z-00-DX2.6A7675DD-2EC1-4E07-ADB8-05F98E32658D,TCGA-DX-AB36-01Z-00-DX2.B0293A74-52AC-490B-A5F0-CA96F4B36252
9,380574_1357_20_4,713276_6132 20 - 2020-07-25 18.05.29,TCGA-DX-A1KW-01Z-00-DX1.D3379503-58B8-4D5D-84DD-C1FF5418165E
10,607460_936_20_7,,
11,736259_0604 20_LP_1_9 ,,
12,C3N-00171-21,,
13,736259_0604 20_LP_1_6 ,,
14,C3L-03641-22,,
15,736259_0604 20_LP_1_3 ,,
16,C3L-04492-22,,
17,380574_1357_20_8,,
18,607460_936_20_2,,
19,C3L-04492-21,,
20,C3N-00171-24,,
21,C3L-05505-22,,
22,C3N-03489-21,,
23,380574_1357_20_5,,
24,736259_0604 20_LP_1_4 ,,
25,380574_1357_20_12,,
26,C3L-06162-27,,
27,C3N-00843-21,,
28,551466_8618 20 - 2020-12-11.03,,
29,C3N-00171-23,,
30,607460_936_20_1,,
31,C3L-02630-23,,
32,C3N-02334-22,,
33,C3L-06162-22,,
34,736259_0604 20_LP_1_11 ,,
35,C3L-06162-24,,
36,C3L-00564-21,,
37,380574_1357_20_2,,
38,380574_1357_20_1,,
39,750803_8445 20,,
40,736259_0604 20_LP_1_2 ,,
41,C3L-05505-21,,
42,C3L-01914-21,,
43,C3L-00564-22,,
44,736259_0604 20_LP_1_1 ,,
45,C3L-02630-25,,
46,C3N-02064-23,,
47,607460_936_20_4,,
48,607460_936_20_6,,
49,C3N-00843-22,,
50,C3L-04492-24,,
51,C3L-03641-23,,
52,703664_8415 20 - 2020-12-11.52,,
53,380574_1357_20_3,,
54,C3L-01883-22,,
55,C3N-03489-23,,
56,C3N-01534-21,,
57,380574_1357_20_6,,
58,736259_0604 20_LP_1_7 ,,
59,C3N-02334-23,,
60,C3N-03489-22,,
61,C3L-03641-21,,
62,C3N-03214-22,,
63,C3N-01534-23,,
64,C3L-01883-23,,
65,C3N-02064-21,,
66,C3N-01534-22,,
67,380574_1357_20_16,,
68,380574_1357_20_11,,
69,380574_1357_20_10,,
70,380574_1357_20_17,,
71,C3L-02630-21,,
72,703664_8415 20_2 - 2020-12-11.57,,
73,736259_0604 20_LP_1_8 ,,
74,736259_0604 20_LP_1_12 ,,
75,736259_0604 20_LP_1_13 ,,
76,627427_5278 20_2 - 2020-07-25 19.08.45,,
77,C3L-02852-21,,
78,607460_936_20_3,,
79,C3L-00564-23,,
80,380574_1357_20_9,,
81,380574_1357_20_15,,
82,736259_0604 20_LP_1_5 ,,
83,380574_1357_20_14,,
84,736259_0604 20_LP_1_10 ,,
85,C3L-06162-23,,
86,C3L-02851-21,,
87,524564_8797 20_3,,
88,C3L-03166-21,,
89,736259_0604 20_LP_1_14 ,,
90,C3L-02630-24,,
91,627427_5278 20 - 2020-07-25 19.05.08,,
92,C3L-02630-22,,
93,380574_1357_20_7,,
94,C3L-00567-21,,
95,C3L-01914-22,,
96,C3L-01883-21,,
97,C3N-03214-21,,
98,746726_6799 20 ,,
99,TCGA-DX-A7ES-01Z-00-DX2.9032C642-D318-433A-8846-B13596413B59,,
100,TCGA-3B-A9HI-01Z-00-DX1.FF553011-934A-4E3E-AA53-B87FC307E095,,
101,TCGA-DX-A240-01Z-00-DX1.84CA11FF-F82D-4D71-8C29-33DB35CCB680,,
102,732812_LP_3_587 20_6 ,,
103,TCGA-DX-A3LS-01Z-00-DX1.32E89F90-9C89-4EBE-9AD3-DF1D2457F6C8,,
104,TCGA-DX-A1L1-01Z-00-DX1.AF505C16-DC64-4346-A1DF-595A43848832,,
105,TCGA-WK-A8XO-01Z-00-DX3.6E73564F-9C51-462F-98B9-5F9693AB783E,,
106,742405_1629 20_15,,
107,745521_3960_20_11,,
108,TCGA-WK-A8XO-01Z-00-DX2.1B458FAA-9937-4A15-A3E0-4237B75DA1A0,,
109,TCGA-WK-A8XQ-01Z-00-DX2.64263F00-71B0-4099-BF60-DFB5391E05EA,,
110,737695_588 20_4,,
111,TCGA-DX-A7EI-01Z-00-DX1.75E3E0DF-9291-4830-A926-EB1EA7327916,,
112,4567206215_1290_20_3,,
113,TCGA-DX-AB2F-01Z-00-DX1.2F9C07B1-77D6-466B-B09E-5FCD01458777,,
114,TCGA-DX-AB3A-01Z-00-DX2.27E3160A-4CA5-4E3B-AF99-157013591E12,,
115,TCGA-DX-A2J1-01Z-00-DX1.51522171-EBCA-4A16-8F39-E794211F8B94,,
116,TCGA-DX-AB37-01Z-00-DX3.AE53E163-C3F2-4BF1-8A2E-232842C590F1,,
117,746726_6799 20 - 2020-07-29 23.11.03,,
118,748804_6555 20 -2,,
119,C3L-05023-22,,
120,TCGA-IF-A3RQ-01Z-00-DX1.674A974D-E775-48C1-B4F1-4671C4D1EF33,,
121,745521_3960_20_12,,
122,TCGA-DX-A3LT-01Z-00-DX1.D4A948E5-6BDC-458B-BB69-ABE5742F148D,,
123,TCGA-DX-AB35-01Z-00-DX2.2B402924-E169-4EB3-AF9F-4A6843547192,,
124,TCGA-DX-AB37-01Z-00-DX1.B778136D-9699-48FA-91F2-16BD16569571,,
125,TCGA-FX-A3NK-01Z-00-DX1.66390C76-EBAB-4904-8BA7-A0E66228B8A5,,
126,TCGA-DX-A6BH-01Z-00-DX1.354D106A-0029-40F6-B11E-1BBD0389A525,,
127,C3L-05023-23,,
128,TCGA-DX-A7EI-01Z-00-DX3.D0068AA2-E10C-4C92-8836-F84F395AD744,,
129,TCGA-SG-A6Z7-01Z-00-DX1.1C500200-81CA-46DB-8D97-EC94247B8D83,,
